weekly_label,avg_mood_score,mood_variability,journal_negative_ratio,quickcheckin_avg,low_signal_rate,stress_mean,energy_mean,recovery_score
High Strain,1.565,0.698,0.912,1.879,0.722,4.347,1.742,0.277
High Strain,2.145,0.725,0.843,1.509,0.662,4.682,2.087,0.249
High Strain,2.127,0.642,0.863,2.294,0.829,4.472,1.539,0.166
High Strain,1.358,0.655,0.911,1.453,0.848,4.967,1.584,0.166
High Strain,1.527,0.595,0.676,1.951,0.81,4.395,1.835,0.158
High Strain,1.96,0.556,0.842,2.001,0.723,4.237,1.43,0.291
High Strain,1.795,0.72,0.7,1.947,0.729,4.754,1.403,0.156
High Strain,2.149,0.582,0.821,1.915,0.8,4.792,2.042,0.249
High Strain,1.609,0.879,0.774,1.883,0.68,4.968,1.393,0.15
High Strain,2.115,0.7,0.843,1.623,0.722,4.494,2.189,0.295
High Strain,1.71,0.764,0.922,1.679,0.654,4.798,2.247,0.139
High Strain,1.997,0.709,0.65,1.848,0.644,4.83,1.853,0.268
High Strain,1.873,0.823,0.902,2.103,0.905,4.82,1.983,0.121
High Strain,1.943,0.62,0.706,2.315,0.609,4.733,2.04,0.278
High Strain,1.37,0.549,0.838,2.101,0.754,4.641,1.921,0.28
High Strain,1.464,0.818,0.723,2.092,0.79,4.816,1.983,0.099
High Strain,2.08,0.755,0.823,2.285,0.855,4.707,2.037,0.162
High Strain,1.875,0.693,0.835,1.807,0.637,4.632,2.222,0.202
High Strain,1.36,0.825,0.752,1.923,0.872,4.644,1.896,0.104
High Strain,1.334,0.772,0.838,1.829,0.791,4.609,1.439,0.236
High Strain,1.798,0.582,0.926,2.173,0.825,4.33,2.04,0.094
High Strain,1.258,0.828,0.736,1.843,0.783,4.473,1.987,0.322
High Strain,1.89,0.714,0.699,2.316,0.749,4.638,2.185,0.243
High Strain,2.137,0.774,0.791,2.112,0.855,4.267,1.859,0.246
High Strain,1.457,0.548,0.902,1.899,0.748,4.501,1.643,0.09
High Strain,1.765,0.533,0.852,1.733,0.683,4.73,1.452,0.104
High Strain,1.994,0.62,0.939,1.69,0.609,4.328,1.429,0.337
High Strain,1.698,0.793,0.807,1.532,0.597,4.689,1.375,0.309
High Strain,1.945,0.54,0.737,2.036,0.724,4.25,1.698,0.214
High Strain,1.917,0.761,0.754,1.875,0.612,4.702,2.035,0.28
High Strain,1.731,0.627,0.857,1.946,0.677,4.984,1.384,0.306
High Strain,1.372,0.76,0.942,2.092,0.905,4.603,2.042,0.279
High Strain,1.59,0.593,0.759,1.628,0.7,4.871,2.139,0.212
High Strain,2.008,0.728,0.886,2.059,0.731,4.369,2.076,0.226
High Strain,1.317,0.745,0.873,1.652,0.687,4.548,1.96,0.063
High Strain,1.862,0.669,0.936,1.778,0.678,4.318,1.736,0.104
High Strain,1.692,0.746,0.67,1.528,0.802,4.669,1.572,0.246
High Strain,1.495,0.809,0.725,1.698,0.695,4.27,2.129,0.086
High Strain,1.976,0.703,0.678,2.218,0.801,4.633,2.216,0.278
High Strain,1.982,0.713,0.825,1.723,0.782,4.469,2.142,0.288
High Strain,1.569,0.807,0.881,1.981,0.79,4.568,2.021,0.214
High Strain,1.703,0.758,0.705,1.724,0.677,4.633,1.909,0.085
High Strain,1.793,0.803,0.782,2.097,0.857,4.479,2.069,0.313
High Strain,1.591,0.693,0.792,1.678,0.6,4.414,2.193,0.224
High Strain,2.146,0.743,0.822,2.03,0.67,4.856,2.055,0.077
High Strain,1.639,0.651,0.754,1.513,0.748,4.866,2.096,0.086
High Strain,2.055,0.569,0.942,1.561,0.804,4.232,1.829,0.095
High Strain,2.057,0.772,0.796,2.043,0.85,4.588,1.392,0.095
High Strain,1.829,0.838,0.931,2.036,0.679,4.918,1.786,0.318
High Strain,1.454,0.616,0.859,2.104,0.815,4.506,1.49,0.217
High Strain,2.092,0.8,0.828,2.308,0.686,4.222,1.778,0.211
High Strain,2.119,0.762,0.816,1.801,0.665,4.536,1.632,0.246
High Strain,1.81,0.857,0.731,2.01,0.825,4.542,1.45,0.173
High Strain,1.727,0.527,0.889,1.876,0.83,4.878,1.944,0.1
High Strain,1.873,0.549,0.716,1.562,0.814,4.454,1.375,0.253
High Strain,1.293,0.588,0.947,1.856,0.836,4.483,2.173,0.284
High Strain,1.871,0.56,0.774,1.711,0.727,4.401,1.828,0.233
High Strain,1.803,0.748,0.789,1.661,0.862,4.476,1.85,0.232
High Strain,1.613,0.77,0.699,2.146,0.685,4.652,2.164,0.312
High Strain,1.991,0.595,0.716,2.141,0.686,4.234,1.404,0.075
High Strain,1.464,0.815,0.849,1.6,0.76,4.846,1.712,0.276
High Strain,1.5,0.577,0.892,2.242,0.788,4.667,1.857,0.146
High Strain,1.487,0.637,0.793,2.287,0.768,4.729,2.071,0.226
High Strain,2.033,0.568,0.92,1.815,0.784,4.584,1.728,0.273
High Strain,2.145,0.628,0.668,2.157,0.879,4.789,1.541,0.073
High Strain,1.815,0.748,0.774,1.599,0.875,4.606,1.447,0.185
High Strain,1.559,0.631,0.658,2.014,0.757,4.986,1.595,0.137
High Strain,1.959,0.792,0.719,2.194,0.774,4.942,1.882,0.244
High Strain,1.576,0.63,0.737,1.621,0.828,4.623,1.97,0.255
High Strain,1.33,0.696,0.735,2.013,0.688,4.597,1.837,0.26
High Strain,2.128,0.627,0.764,1.537,0.803,4.923,1.612,0.142
High Strain,1.606,0.701,0.802,1.838,0.64,4.513,1.991,0.113
High Strain,1.995,0.856,0.698,2.057,0.856,4.319,1.667,0.089
High Strain,2.073,0.758,0.737,1.626,0.742,4.882,2.018,0.068
High Strain,1.883,0.783,0.782,1.456,0.601,4.69,1.953,0.136
High Strain,2.05,0.626,0.752,2.335,0.618,4.659,2.031,0.219
High Strain,1.731,0.68,0.69,1.507,0.858,4.787,2.207,0.327
High Strain,1.483,0.823,0.922,1.791,0.638,4.573,2.084,0.169
High Strain,2.11,0.78,0.84,1.97,0.854,4.33,1.628,0.27
High Strain,2.04,0.812,0.946,2.159,0.636,4.405,1.431,0.328
High Strain,1.865,0.703,0.905,1.578,0.699,4.313,1.7,0.167
High Strain,1.397,0.63,0.809,1.86,0.805,4.59,1.896,0.178
High Strain,1.787,0.802,0.821,1.639,0.606,4.835,1.894,0.294
High Strain,1.991,0.722,0.818,2.158,0.849,4.885,1.542,0.092
High Strain,2.128,0.711,0.734,1.991,0.791,4.358,1.736,0.315
High Strain,2.076,0.533,0.683,2.285,0.67,4.995,1.538,0.263
High Strain,1.605,0.581,0.664,1.87,0.853,4.707,1.527,0.259
High Strain,1.964,0.677,0.922,2.123,0.861,4.782,1.482,0.302
High Strain,2.005,0.7,0.857,2.051,0.592,4.363,1.861,0.325
High Strain,1.858,0.616,0.915,2.121,0.734,4.321,2.14,0.247
High Strain,1.579,0.521,0.845,1.939,0.604,4.496,1.684,0.162
High Strain,1.403,0.651,0.771,2.269,0.815,4.334,1.376,0.119
High Strain,1.578,0.55,0.679,1.459,0.822,4.708,1.943,0.106
High Strain,1.491,0.73,0.88,2.288,0.666,4.789,2.15,0.265
High Strain,1.97,0.565,0.768,2.032,0.645,4.355,1.874,0.223
High Strain,1.388,0.52,0.749,2.1,0.793,4.411,1.472,0.085
High Strain,1.27,0.834,0.813,2.119,0.77,4.326,2.063,0.282
High Strain,1.962,0.865,0.743,2.12,0.628,4.35,2.242,0.302
High Strain,1.963,0.783,0.703,1.59,0.723,4.659,1.934,0.222
High Strain,1.702,0.581,0.774,1.459,0.799,4.687,1.813,0.175
High Strain,1.532,0.877,0.946,2.241,0.8,4.94,1.564,0.283
High Strain,1.715,0.709,0.794,1.552,0.69,4.703,1.4,0.198
High Strain,1.844,0.68,0.898,2.152,0.745,4.722,1.4,0.081
High Strain,1.854,0.545,0.669,2.223,0.596,4.547,1.659,0.225
High Strain,1.722,0.783,0.734,1.454,0.831,4.658,1.939,0.137
High Strain,1.9,0.547,0.916,1.652,0.61,4.209,2.17,0.197
High Strain,1.728,0.548,0.716,2.274,0.838,4.348,2.049,0.143
High Strain,1.367,0.682,0.875,1.841,0.596,4.719,2.125,0.298
High Strain,1.716,0.568,0.667,2.163,0.77,4.76,1.882,0.266
High Strain,1.425,0.626,0.925,2.298,0.811,4.775,2.137,0.228
High Strain,1.874,0.743,0.71,2.251,0.696,4.508,1.586,0.206
High Strain,1.622,0.814,0.862,1.596,0.859,4.46,2.029,0.205
High Strain,1.884,0.664,0.733,1.882,0.613,4.543,1.383,0.243
High Strain,1.363,0.611,0.755,1.45,0.698,4.279,2.008,0.283
High Strain,2.043,0.796,0.749,1.75,0.849,4.482,1.647,0.164
High Strain,1.634,0.709,0.697,2.34,0.763,4.206,1.548,0.18
High Strain,1.419,0.602,0.83,1.573,0.83,4.338,1.694,0.104
High Strain,1.357,0.716,0.896,1.45,0.867,4.837,2.14,0.088
High Strain,1.696,0.552,0.657,1.884,0.709,4.936,2.015,0.124
High Strain,1.636,0.679,0.944,1.569,0.758,4.626,1.788,0.195
High Strain,1.684,0.75,0.791,2.146,0.818,4.542,2.167,0.15
High Strain,1.46,0.739,0.917,1.891,0.698,4.355,1.542,0.156
High Strain,2.056,0.627,0.818,1.738,0.627,4.965,1.696,0.113
High Strain,1.835,0.54,0.844,2.163,0.668,4.972,1.576,0.298
High Strain,1.428,0.584,0.84,1.963,0.639,4.848,1.752,0.323
High Strain,2.108,0.578,0.671,1.847,0.779,4.657,1.457,0.144
High Strain,1.932,0.681,0.663,1.947,0.59,4.443,2.216,0.066
High Strain,1.605,0.665,0.884,1.908,0.611,4.565,1.407,0.312
High Strain,1.967,0.765,0.931,1.681,0.706,4.853,1.802,0.223
High Strain,1.329,0.715,0.794,2.066,0.712,4.27,2.017,0.095
High Strain,1.88,0.845,0.949,1.6,0.79,4.755,1.878,0.097
High Strain,1.845,0.543,0.917,1.804,0.66,4.715,1.971,0.321
High Strain,1.787,0.834,0.745,1.645,0.91,4.661,1.819,0.196
High Strain,2.044,0.537,0.83,1.956,0.599,4.725,1.423,0.13
High Strain,1.728,0.866,0.921,1.726,0.81,4.538,1.734,0.286
High Strain,1.396,0.774,0.751,1.902,0.711,4.691,1.773,0.105
High Strain,1.849,0.657,0.754,2.207,0.809,4.531,2.174,0.219
High Strain,1.262,0.767,0.922,1.97,0.64,4.718,2.155,0.111
High Strain,1.531,0.579,0.925,1.907,0.908,4.298,1.489,0.231
High Strain,1.289,0.693,0.685,1.986,0.749,4.608,1.581,0.198
High Strain,1.595,0.834,0.904,1.755,0.808,4.756,2.021,0.145
High Strain,1.709,0.539,0.771,1.458,0.701,4.599,1.884,0.258
High Strain,1.626,0.681,0.917,1.824,0.734,4.423,1.56,0.236
High Strain,1.989,0.596,0.69,1.713,0.814,4.856,1.798,0.173
High Strain,1.543,0.549,0.891,1.972,0.682,4.663,1.635,0.156
High Strain,1.508,0.707,0.786,2.001,0.639,4.464,2.119,0.085
High Strain,1.318,0.822,0.941,2.163,0.733,4.647,2.075,0.221
High Strain,1.723,0.865,0.691,1.633,0.759,4.278,1.409,0.271
High Strain,1.332,0.563,0.906,1.498,0.888,4.366,2.053,0.069
High Strain,1.704,0.721,0.869,2.11,0.73,4.776,1.741,0.299
High Strain,1.564,0.746,0.746,2.223,0.597,4.72,2.193,0.33
High Strain,1.461,0.737,0.653,1.619,0.736,4.22,1.836,0.27
High Strain,1.64,0.718,0.703,2.179,0.598,4.353,1.965,0.285
High Strain,1.746,0.877,0.85,2.026,0.686,4.733,1.907,0.174
High Strain,1.652,0.763,0.816,2.065,0.883,4.717,2.05,0.275
High Strain,1.99,0.666,0.912,1.508,0.674,4.305,2.243,0.097
High Strain,1.625,0.808,0.834,1.699,0.615,4.314,1.74,0.131
High Strain,2.106,0.596,0.736,2.158,0.745,4.891,1.985,0.103
High Strain,1.487,0.767,0.724,2.285,0.718,4.969,1.562,0.12
High Strain,1.468,0.525,0.87,2.179,0.64,4.82,2.167,0.249
High Strain,1.522,0.586,0.686,1.991,0.714,4.328,2.074,0.273
High Strain,1.761,0.708,0.746,1.805,0.772,4.212,2.06,0.122
High Strain,1.436,0.623,0.696,1.682,0.847,4.945,1.597,0.064
High Strain,1.273,0.877,0.903,2.08,0.747,4.776,1.782,0.151
High Strain,1.666,0.876,0.837,1.507,0.693,4.749,1.393,0.294
High Strain,1.708,0.747,0.722,1.927,0.735,4.587,1.68,0.135
High Strain,1.624,0.69,0.898,2.241,0.705,4.525,1.382,0.271
High Strain,1.717,0.868,0.851,1.893,0.646,4.707,1.716,0.08
High Strain,1.253,0.755,0.928,1.985,0.669,4.247,2.055,0.316
High Strain,1.803,0.815,0.877,1.544,0.883,4.424,2.152,0.19
High Strain,1.826,0.706,0.737,2.197,0.849,4.712,1.795,0.333
High Strain,1.371,0.587,0.727,1.731,0.876,4.363,1.775,0.145
High Strain,1.554,0.748,0.932,2.212,0.647,4.444,1.924,0.33
High Strain,1.382,0.794,0.712,1.933,0.77,4.636,1.439,0.224
High Strain,1.871,0.738,0.733,1.541,0.716,4.953,2.001,0.095
High Strain,1.629,0.788,0.682,1.509,0.603,4.224,1.726,0.271
High Strain,1.875,0.674,0.753,1.47,0.831,4.447,2.068,0.091
High Strain,1.907,0.675,0.7,1.592,0.864,4.901,1.433,0.18
High Strain,1.557,0.708,0.804,2.062,0.79,4.473,2.07,0.084
High Strain,1.945,0.85,0.835,1.798,0.857,4.428,1.491,0.066
High Strain,2.038,0.784,0.765,1.592,0.907,4.573,1.756,0.311
High Strain,1.866,0.723,0.877,1.902,0.693,4.303,1.638,0.209
High Strain,1.259,0.671,0.893,1.75,0.773,4.724,1.816,0.293
High Strain,1.328,0.808,0.727,1.489,0.828,4.509,1.552,0.086
High Strain,1.496,0.792,0.693,1.965,0.775,4.335,2.135,0.233
High Strain,2.074,0.835,0.774,1.614,0.899,4.644,2.137,0.224
High Strain,1.995,0.858,0.918,2.216,0.876,4.983,1.412,0.199
High Strain,1.522,0.813,0.724,1.681,0.641,4.559,1.414,0.09
High Strain,1.941,0.554,0.896,2.268,0.862,4.29,1.363,0.281
High Strain,1.625,0.549,0.718,1.555,0.701,4.811,1.725,0.188
High Strain,1.674,0.546,0.931,1.652,0.801,4.929,1.583,0.217
High Strain,1.258,0.726,0.916,2.198,0.9,4.387,1.709,0.1
High Strain,1.584,0.652,0.696,2.301,0.775,4.882,1.65,0.155
High Strain,1.463,0.755,0.796,1.911,0.725,4.273,1.864,0.276
High Strain,1.596,0.672,0.684,2.27,0.631,4.481,1.684,0.251
High Strain,1.302,0.723,0.661,1.586,0.792,4.687,2.101,0.298
High Strain,1.376,0.615,0.879,2.163,0.676,4.497,2.15,0.09
High Strain,1.796,0.616,0.712,1.689,0.736,4.384,1.569,0.139
High Strain,2.14,0.837,0.688,1.618,0.871,4.949,1.738,0.203
High Strain,1.515,0.767,0.651,2.034,0.625,4.94,1.537,0.117
High Strain,2.075,0.656,0.816,2.037,0.708,4.469,2.174,0.194
High Strain,1.743,0.839,0.704,2.272,0.907,4.613,1.649,0.274
High Strain,1.438,0.528,0.821,1.639,0.651,4.974,2.158,0.289
High Strain,2.038,0.642,0.829,1.781,0.702,4.262,1.378,0.079
High Strain,1.667,0.774,0.949,2.136,0.785,4.367,1.821,0.114
High Strain,1.883,0.683,0.917,1.765,0.825,4.478,1.581,0.092
High Strain,1.559,0.629,0.782,1.517,0.834,4.621,1.844,0.086
High Strain,1.771,0.776,0.654,2.049,0.654,4.599,2.163,0.317
High Strain,1.994,0.835,0.928,1.938,0.649,4.753,1.93,0.188
High Strain,1.686,0.743,0.896,2.328,0.661,4.554,1.738,0.091
High Strain,1.7,0.77,0.685,2.085,0.731,4.501,1.971,0.333
High Strain,2.138,0.805,0.682,2.175,0.756,4.296,2.061,0.073
High Strain,1.647,0.823,0.804,1.66,0.698,4.592,1.621,0.225
High Strain,1.588,0.84,0.819,1.592,0.748,4.679,1.619,0.179
High Strain,2.114,0.629,0.857,1.744,0.764,4.481,1.519,0.167
High Strain,1.629,0.858,0.673,1.892,0.716,4.689,2.15,0.087
High Strain,1.681,0.591,0.744,1.758,0.845,4.386,1.863,0.339
High Strain,1.683,0.872,0.852,1.689,0.606,4.355,1.569,0.308
High Strain,1.286,0.659,0.86,2.295,0.75,4.255,2.136,0.15
High Strain,1.42,0.844,0.674,1.46,0.814,4.886,1.771,0.093
High Strain,1.279,0.796,0.721,2.225,0.754,4.444,1.37,0.193
High Strain,1.611,0.522,0.814,1.554,0.813,4.315,1.718,0.064
High Strain,2.005,0.719,0.861,1.755,0.815,4.672,2.017,0.163
High Strain,1.715,0.677,0.785,1.8,0.873,4.983,1.864,0.153
High Strain,1.443,0.79,0.818,2.167,0.761,4.31,2.07,0.237
High Strain,1.371,0.685,0.776,2.08,0.851,4.905,1.969,0.21
High Strain,1.928,0.582,0.863,2.108,0.856,4.508,2.018,0.066
High Strain,1.903,0.643,0.844,2.085,0.874,4.48,1.762,0.25
High Strain,1.799,0.686,0.941,1.708,0.724,4.739,2.242,0.296
High Strain,1.758,0.79,0.725,2.253,0.799,4.478,1.531,0.27
High Strain,1.746,0.68,0.945,2.012,0.709,4.384,1.732,0.257
High Strain,1.657,0.785,0.784,1.703,0.591,4.384,1.55,0.155
High Strain,1.874,0.697,0.788,2.341,0.879,4.98,1.437,0.302
High Strain,1.983,0.585,0.915,1.506,0.791,4.874,2.039,0.159
High Strain,1.778,0.759,0.875,2.027,0.661,4.494,1.482,0.122
High Strain,2.009,0.777,0.839,2.007,0.9,4.805,1.435,0.101
High Strain,1.977,0.611,0.937,1.548,0.783,4.495,1.967,0.28
High Strain,1.895,0.645,0.913,1.579,0.641,4.684,1.41,0.267
High Strain,1.352,0.829,0.883,2.067,0.844,4.937,2.076,0.289
High Strain,1.383,0.698,0.897,2.121,0.729,4.999,1.832,0.095
High Strain,1.615,0.71,0.727,2.211,0.704,4.961,1.75,0.223
High Strain,1.78,0.79,0.948,1.662,0.767,4.879,1.67,0.214
High Strain,1.559,0.522,0.867,2.276,0.701,4.632,1.634,0.212
High Strain,1.267,0.565,0.852,1.711,0.901,4.994,2.122,0.314
High Strain,1.716,0.818,0.949,1.83,0.774,4.387,2.139,0.204
High Strain,1.604,0.568,0.714,2.34,0.891,4.26,2.1,0.061
High Strain,2.136,0.564,0.823,1.646,0.896,4.911,1.893,0.114
High Strain,1.667,0.542,0.757,1.873,0.889,4.85,1.937,0.208
High Strain,1.777,0.613,0.671,1.895,0.886,4.951,2.236,0.178
High Strain,1.804,0.862,0.925,2.055,0.899,4.297,1.497,0.085
High Strain,1.536,0.578,0.915,2.257,0.742,4.28,2.081,0.217
High Strain,2.116,0.686,0.732,2.143,0.744,4.327,1.919,0.239
High Strain,2.132,0.823,0.921,2.217,0.885,4.465,1.549,0.063
High Strain,1.943,0.773,0.936,1.521,0.852,4.682,1.92,0.118
High Strain,1.294,0.757,0.709,1.66,0.704,4.426,1.721,0.118
High Strain,2.094,0.846,0.9,1.594,0.605,4.474,2.024,0.22
High Strain,1.586,0.616,0.75,1.461,0.735,4.66,2.136,0.212
High Strain,1.772,0.537,0.825,2.0,0.705,4.672,2.038,0.078
High Strain,1.318,0.581,0.8,2.19,0.776,4.861,2.065,0.071
High Strain,1.403,0.625,0.664,1.651,0.699,4.596,2.198,0.084
High Strain,1.558,0.55,0.866,2.267,0.8,4.295,1.421,0.212
High Strain,1.703,0.864,0.71,1.907,0.63,4.788,2.229,0.315
High Strain,1.687,0.871,0.674,1.9,0.882,4.632,1.577,0.101
High Strain,1.347,0.658,0.714,2.115,0.596,4.638,2.206,0.157
High Strain,1.861,0.746,0.705,1.609,0.825,4.896,2.163,0.318
High Strain,2.019,0.551,0.892,1.996,0.657,4.471,1.616,0.262
High Strain,1.416,0.68,0.77,1.943,0.668,4.621,2.003,0.219
High Strain,2.01,0.85,0.756,1.976,0.751,4.289,2.036,0.188
High Strain,1.31,0.62,0.784,2.223,0.893,4.944,1.774,0.113
High Strain,1.409,0.776,0.681,2.113,0.862,4.588,1.573,0.233
High Strain,1.866,0.702,0.862,2.076,0.662,4.986,1.609,0.167
High Strain,1.616,0.561,0.794,2.333,0.771,4.861,1.731,0.103
High Strain,1.492,0.67,0.822,2.066,0.781,4.465,1.989,0.134
High Strain,1.274,0.786,0.946,1.897,0.826,4.921,1.845,0.214
High Strain,2.009,0.843,0.921,1.824,0.816,4.205,1.537,0.083
High Strain,1.634,0.698,0.881,2.324,0.624,4.534,1.575,0.16
High Strain,1.494,0.674,0.706,2.314,0.8,4.254,2.196,0.227
High Strain,1.863,0.801,0.729,2.109,0.68,4.245,1.821,0.088
High Strain,1.53,0.705,0.712,2.306,0.9,4.541,1.489,0.205
High Strain,1.358,0.57,0.843,2.014,0.757,4.247,1.546,0.251
High Strain,1.505,0.669,0.716,2.332,0.688,4.478,1.588,0.117
High Strain,1.699,0.856,0.652,1.685,0.84,4.269,1.369,0.162
High Strain,2.126,0.735,0.907,2.122,0.887,4.82,1.818,0.324
High Strain,1.936,0.563,0.825,1.973,0.693,4.53,2.028,0.32
High Strain,1.301,0.621,0.759,1.76,0.884,4.649,1.948,0.276
High Strain,1.65,0.825,0.789,1.979,0.763,4.962,2.034,0.143
High Strain,1.631,0.556,0.703,2.347,0.72,4.997,2.213,0.181
High Strain,1.621,0.541,0.906,1.991,0.652,4.757,1.562,0.064
High Strain,1.294,0.709,0.669,1.457,0.66,4.855,1.828,0.327
High Strain,1.789,0.553,0.822,2.017,0.853,4.9,1.668,0.183
High Strain,1.262,0.813,0.765,2.154,0.822,4.214,1.895,0.339
High Strain,1.978,0.549,0.823,1.756,0.675,4.959,2.095,0.224
High Strain,2.081,0.605,0.744,2.244,0.648,4.749,2.063,0.11
High Strain,1.594,0.615,0.847,1.55,0.882,4.643,1.861,0.267
High Strain,1.487,0.665,0.822,2.16,0.598,4.428,1.835,0.241
High Strain,1.452,0.658,0.664,2.131,0.651,4.227,1.524,0.097
High Strain,2.119,0.595,0.657,1.633,0.596,4.207,2.034,0.272
High Strain,1.739,0.524,0.668,1.711,0.606,4.633,1.886,0.156
High Strain,1.633,0.64,0.808,2.244,0.675,4.44,1.653,0.335
High Strain,1.432,0.743,0.761,2.002,0.861,4.629,1.801,0.202
High Strain,1.472,0.778,0.726,2.102,0.77,4.498,2.131,0.067
High Strain,1.274,0.566,0.926,1.698,0.773,4.991,1.416,0.222
High Strain,1.259,0.868,0.742,1.516,0.831,4.438,1.94,0.075
High Strain,1.678,0.531,0.702,1.585,0.731,4.304,1.88,0.268
High Strain,1.465,0.527,0.653,2.116,0.896,4.726,1.769,0.109
High Strain,1.88,0.737,0.88,1.74,0.758,4.56,1.557,0.275
High Strain,1.945,0.601,0.841,2.095,0.611,4.571,1.638,0.318
High Strain,1.913,0.879,0.854,1.664,0.786,4.604,1.608,0.088
High Strain,1.953,0.634,0.774,2.196,0.71,4.942,1.417,0.082
High Strain,1.798,0.544,0.694,2.144,0.672,4.888,1.747,0.327
High Strain,1.466,0.851,0.733,1.932,0.743,4.823,2.228,0.214
High Strain,1.352,0.607,0.908,2.205,0.679,4.992,1.432,0.122
High Strain,1.537,0.637,0.776,2.329,0.903,4.874,1.999,0.215
High Strain,1.381,0.641,0.684,1.893,0.606,4.891,1.672,0.329
High Strain,1.65,0.867,0.741,1.737,0.759,4.947,1.431,0.095
High Strain,2.121,0.697,0.709,2.028,0.874,4.607,2.061,0.148
High Strain,1.723,0.725,0.791,1.98,0.861,4.551,1.891,0.332
High Strain,1.957,0.523,0.761,2.222,0.841,4.889,1.89,0.182
High Strain,1.389,0.811,0.875,1.602,0.819,4.358,1.892,0.099
High Strain,1.333,0.556,0.763,1.728,0.906,4.928,2.25,0.095
High Strain,1.61,0.723,0.933,2.049,0.748,4.73,1.362,0.334
High Strain,1.584,0.533,0.74,1.482,0.617,4.437,1.822,0.087
High Strain,1.654,0.782,0.785,2.147,0.872,4.302,1.596,0.094
High Strain,1.268,0.551,0.696,2.068,0.792,4.417,1.487,0.32
High Strain,2.018,0.605,0.932,2.293,0.755,4.582,1.553,0.09
High Strain,1.597,0.529,0.786,2.075,0.684,4.534,1.556,0.096
High Strain,1.387,0.644,0.75,2.178,0.629,4.66,1.504,0.12
High Strain,1.646,0.582,0.783,1.575,0.714,4.493,2.157,0.291
High Strain,2.072,0.745,0.739,2.19,0.657,4.527,1.732,0.258
High Strain,1.393,0.554,0.895,2.23,0.742,4.724,1.977,0.32
High Strain,1.542,0.757,0.928,1.55,0.767,4.868,2.035,0.069
High Strain,1.892,0.654,0.863,2.16,0.749,4.913,2.081,0.142
High Strain,2.086,0.602,0.726,1.79,0.652,4.441,2.092,0.257
High Strain,2.108,0.758,0.937,1.987,0.656,4.254,1.742,0.175
High Strain,1.273,0.603,0.901,2.044,0.691,4.597,2.096,0.062
High Strain,1.851,0.715,0.789,2.076,0.666,4.531,2.23,0.264
High Strain,1.905,0.761,0.805,2.145,0.649,4.655,2.14,0.094
High Strain,1.763,0.767,0.655,1.933,0.8,4.776,1.452,0.25
High Strain,2.12,0.817,0.664,2.306,0.753,4.385,1.374,0.174
High Strain,1.785,0.707,0.873,1.882,0.687,4.78,1.367,0.265
High Strain,1.567,0.82,0.809,2.077,0.801,4.823,1.856,0.112
High Strain,1.446,0.606,0.79,1.683,0.793,4.346,2.176,0.27
High Strain,1.544,0.696,0.864,2.237,0.757,4.305,1.489,0.12
High Strain,1.706,0.564,0.855,2.007,0.822,4.526,2.179,0.082
High Strain,1.885,0.57,0.657,1.774,0.887,4.474,2.179,0.19
