avg_mood_score,mood_variability,journal_negative_ratio,stress_mean,anxiety_mean,support_mean,stress_index,emotional_stability,positivity_ratio,confidence_score
4.616,0.091,0.222,3.174,3.427,3.622,53,100,78,96
4.544,0.192,0.561,2.728,1.172,3.851,30,100,44,96
2.841,0.615,0.492,1.006,1.54,1.033,19,61,51,77
2.504,0.505,0.215,1.357,4.229,1.453,48,65,78,82
4.195,0.742,0.558,4.46,1.905,1.912,68,89,44,80
4.26,0.436,0.902,3.322,1.197,4.559,49,100,10,96
1.371,0.837,0.685,2.227,2.119,1.286,60,29,32,74
3.567,0.255,0.044,4.293,1.943,3.319,60,100,96,96
3.118,0.35,0.861,4.741,1.647,4.541,85,95,14,96
3.08,0.659,0.243,3.789,4.214,4.979,83,99,76,96
3.651,0.566,0.202,3.307,2.27,2.78,50,95,80,89
3.991,0.113,0.372,2.764,3.784,1.53,58,98,63,92
4.63,0.671,0.369,4.864,2.734,3.724,76,100,63,92
4.561,0.944,0.671,4.694,2.107,3.686,73,100,33,86
2.058,0.121,0.486,1.569,2.904,2.321,47,68,51,96
3.609,0.293,0.146,4.486,2.464,1.395,70,90,85,87
3.464,0.211,0.054,2.621,2.911,2.59,44,100,95,96
4.678,0.882,0.348,1.99,1.63,1.966,18,98,65,77
2.485,0.828,0.87,1.667,1.039,1.111,35,45,13,73
4.821,0.217,0.144,4.509,1.15,3.36,48,100,86,96
4.187,0.997,0.53,3.057,1.747,3.126,43,93,47,81
3.561,0.592,0.229,4.862,2.563,1.285,80,80,77,79
1.408,0.749,0.239,4.342,4.179,1.282,100,38,76,76
2.847,0.397,0.988,2.417,1.551,4.85,51,89,1,96
2.46,0.505,0.177,1.836,4.92,3.426,62,80,82,94
1.601,0.315,0.025,1.502,1.046,4.279,22,78,98,96
2.28,0.875,0.546,2.65,1.262,1.429,48,48,45,74
4.826,0.211,0.924,4.86,4.643,3.738,100,100,8,96
3.812,0.364,0.224,1.171,1.256,4.911,5,100,78,96
4.759,0.359,0.966,4.27,4.363,4.041,93,100,3,96
4.974,0.828,0.805,2.124,4.078,2.943,51,100,20,84
2.175,0.132,0.307,2.219,3.932,2.461,64,74,69,96
4.441,0.846,0.43,2.773,1.303,3.844,30,100,57,89
2.6,0.827,0.861,1.468,4.844,4.774,68,77,14,95
2.334,0.844,0.307,1.364,1.832,4.641,28,78,69,94
2.047,0.983,0.36,3.513,4.93,1.012,96,40,64,69
1.128,0.406,0.57,4.877,2.069,1.563,100,38,43,85
4.911,0.173,0.633,4.913,4.932,1.398,100,100,37,90
4.181,0.412,0.864,1.626,3.842,2.389,48,95,14,90
2.267,0.582,0.033,1.972,1.328,4.857,27,88,97,96
1.274,0.36,0.63,1.236,3.518,1.195,57,38,37,84
2.525,0.172,0.348,3.543,2.809,4.218,72,93,65,96
3.161,0.558,0.986,4.985,2.831,2.353,100,72,1,87
1.364,0.518,0.009,4.528,3.924,1.19,100,45,99,80
2.579,0.219,0.403,3.035,1.118,2.713,47,80,60,96
2.976,0.795,0.085,4.495,2.566,2.073,75,73,92,80
4.474,0.785,0.265,4.298,2.01,2.291,58,100,74,81
4.81,0.165,0.486,3.682,1.353,1.827,44,100,51,92
3.004,0.65,0.271,2.01,1.305,3.751,27,88,73,93
1.074,0.74,0.694,4.897,1.755,1.01,100,23,31,74
1.474,0.887,0.803,2.393,2.869,1.815,71,32,20,76
4.574,0.432,0.733,4.442,2.352,3.542,73,100,27,96
1.537,0.641,0.807,3.697,1.186,4.02,75,56,19,95
2.976,0.726,0.898,4.633,4.099,2.87,100,70,10,86
3.699,0.295,0.242,4.04,2.575,3.677,66,100,76,96
2.354,0.241,0.502,1.826,1.722,4.514,38,88,50,96
1.92,0.995,0.429,3.998,4.097,4.838,98,67,57,92
3.212,0.781,0.346,3.414,4.059,4.467,76,94,65,94
2.646,0.255,0.029,2.454,1.904,1.509,38,76,97,88
1.618,0.617,0.058,2.151,2.104,4.006,44,69,94,95
3.507,0.191,0.476,2.118,4.439,1.062,60,83,52,87
2.083,0.899,0.159,3.885,1.741,2.328,66,56,84,79
4.961,0.848,0.391,1.992,2.807,1.094,28,96,61,72
4.228,0.59,0.013,4.568,2.182,1.264,61,95,99,79
2.488,0.447,0.666,3.765,2.718,1.266,81,58,33,83
3.796,0.954,0.553,1.393,4.054,1.351,44,72,45,72
3.706,0.783,0.554,1.515,1.796,2.679,24,85,45,83
2.175,0.39,0.533,2.851,1.275,2.506,52,65,47,91
3.376,0.421,0.531,4.133,2.855,1.586,78,79,47,85
2.813,0.856,0.074,2.475,2.966,4.076,48,85,93,90
3.297,0.496,0.514,1.685,1.999,1.518,31,75,49,83
3.105,0.223,0.937,2.294,4.856,3.019,79,84,6,96
4.593,0.772,0.785,1.939,3.149,3.557,41,100,22,89
4.926,0.843,0.438,1.654,1.976,3.528,16,100,56,87
2.732,0.333,0.872,3.975,3.664,4.519,96,88,13,96
3.332,0.281,0.383,1.943,1.428,2.453,26,90,62,93
3.827,0.148,0.636,3.37,2.369,1.077,60,87,36,88
3.171,0.643,0.169,2.968,3.229,1.24,58,72,83,78
1.802,0.183,0.238,2.671,4.615,4.999,79,87,76,96
1.185,0.503,0.19,1.917,4.075,2.343,66,48,81,88
1.056,0.574,0.284,3.468,4.827,2.284,100,43,72,86
1.09,0.746,0.503,2.117,2.505,3.666,60,47,50,90
1.947,0.179,0.473,1.395,3.895,3.368,55,73,53,96
1.501,0.577,0.038,4.396,1.199,3.157,71,61,96,91
3.205,0.572,0.245,4.65,2.696,2.546,81,84,76,87
4.593,0.687,0.484,1.421,4.011,3.496,36,100,52,91
1.893,0.406,0.901,1.438,3.553,2.216,61,52,10,89
3.994,0.885,0.596,1.933,3.379,3.856,45,97,40,88
3.256,0.565,0.872,4.688,2.519,1.116,92,65,13,79
1.264,0.77,0.174,1.563,4.136,2.668,60,47,83,84
1.975,0.327,0.677,1.802,4.446,4.203,71,74,32,96
4.828,0.875,0.7,2.108,2.432,1.683,33,93,30,75
2.664,0.282,0.542,2.386,3.4,2.784,62,78,46,95
2.04,0.654,0.891,1.749,3.645,3.136,66,57,11,89
2.132,0.108,0.026,3.024,2.604,2.529,58,78,97,96
1.334,0.345,0.696,1.919,4.649,3.323,80,55,30,96
4.76,0.599,0.521,4.273,3.697,1.64,78,100,48,81
4.457,0.535,0.23,4.965,1.345,4.996,62,100,77,96
3.836,0.547,0.085,3.441,1.652,2.886,43,100,92,90
3.97,0.186,0.848,2.903,3.873,2.119,70,94,15,94
4.806,0.268,0.251,2.72,3.16,4.877,42,100,75,96
3.822,0.502,0.247,4.271,3.009,2.834,73,99,75,91
3.236,0.71,0.746,4.952,1.32,3.696,81,84,25,91
3.058,0.927,0.901,2.783,1.973,4.128,58,77,10,89
4.916,0.341,0.531,4.216,4.912,1.122,88,100,47,84
3.017,0.324,0.424,4.023,3.622,1.102,85,72,58,84
3.737,0.539,0.369,2.244,4.307,2.928,56,96,63,90
2.46,0.134,0.154,1.606,2.058,2.394,30,80,85,96
3.085,0.331,0.795,2.651,4.192,3.921,76,90,20,96
4.374,0.721,0.193,1.534,2.213,2.139,16,99,81,82
3.496,0.901,0.447,1.44,4.026,4.911,44,98,55,94
4.698,0.299,0.87,2.125,2.674,4.304,41,100,13,96
2.186,0.154,0.489,2.628,2.181,4.049,56,84,51,96
2.835,0.203,0.887,4.519,3.316,2.688,100,78,11,96
3.314,0.567,0.779,3.251,4.866,1.029,90,67,22,78
4.917,0.537,0.434,3.297,3.634,2.814,58,100,57,90
4.227,0.239,0.615,1.792,3.086,1.306,38,95,38,87
3.426,0.646,0.269,4.693,3.207,1.076,85,74,73,77
4.942,0.264,0.707,4.731,2.464,2.578,75,100,29,95
4.819,0.711,0.165,3.653,3.845,2.488,62,100,83,84
1.318,0.436,0.705,1.866,4.593,2.688,79,48,30,91
4.511,0.329,0.587,1.435,1.982,1.229,18,98,41,85
4.036,0.204,0.266,4.684,3.232,4.84,80,100,73,96
2.616,0.657,0.345,1.12,1.162,3.377,16,77,66,90
2.919,0.801,0.261,1.998,4.717,4.37,61,88,74,93
4.945,0.295,0.704,1.541,4.092,1.936,40,100,30,90
4.157,0.691,0.99,4.55,2.053,3.401,80,95,1,90
3.09,0.294,0.848,4.719,1.094,4.629,79,96,15,96
2.584,0.578,0.359,2.048,3.673,2.07,56,67,64,84
1.997,0.703,0.041,4.303,3.998,1.664,94,55,96,79
2.572,0.874,0.721,4.672,1.092,2.255,80,57,28,79
1.14,0.154,0.765,2.094,4.999,2.042,90,45,23,94
3.955,0.502,0.532,3.416,3.387,1.277,68,85,47,81
4.724,0.995,0.666,2.066,3.26,4.184,41,100,33,88
4.562,0.895,0.927,2.48,1.664,1.458,38,83,7,74
4.892,0.843,0.167,1.347,3.677,4.983,23,100,83,96
4.617,0.47,0.209,2.116,2.242,1.812,24,100,79,85
4.143,0.853,0.051,1.988,1.252,3.835,12,100,95,89
2.273,0.934,0.325,2.674,2.359,1.387,55,49,67,72
1.44,0.846,0.558,1.827,1.171,4.758,41,60,44,95
4.74,0.278,0.681,4.108,3.747,3.532,79,100,32,96
4.912,0.743,0.474,4.089,2.121,1.572,57,100,53,78
3.347,0.353,0.952,3.476,1.733,1.365,65,72,5,85
3.922,0.414,0.016,1.04,3.393,1.777,20,97,98,86
3.274,0.284,0.716,3.485,4.993,4.086,94,97,28,96
3.027,0.869,0.075,4.821,3.575,4.654,90,94,92,93
2.607,0.563,0.684,3.911,3.113,3.546,87,75,32,94
2.844,0.801,0.609,2.145,3.789,3.296,62,73,39,87
1.5,0.693,0.625,2.681,2.935,4.182,73,58,37,94
2.414,0.535,0.064,4.607,2.322,4.217,79,87,94,96
2.395,0.966,0.588,2.405,1.793,3.083,49,60,41,82
1.745,0.539,0.804,4.688,1.616,1.611,93,43,20,83
3.159,0.255,0.854,1.302,3.433,3.654,47,91,15,96
3.738,0.787,0.593,4.425,2.909,1.269,82,74,41,75
1.248,0.633,0.812,4.954,3.652,4.999,100,59,19,96
4.933,0.86,0.787,4.941,2.303,4.438,78,100,21,92
1.928,0.765,0.526,1.001,3.448,1.583,46,45,47,77
4.374,0.722,0.068,2.475,2.032,3.79,26,100,93,91
4.104,0.402,0.18,1.902,1.475,2.477,16,100,82,91
1.463,0.588,0.031,1.369,1.596,1.05,27,43,97,78
3.118,0.449,0.075,2.628,2.625,2.748,45,89,93,91
4.212,0.339,0.528,3.532,3.704,3.96,70,100,47,96
3.438,0.223,0.399,3.571,1.253,2.31,50,92,60,94
3.039,0.178,0.619,1.782,2.297,3.23,40,90,38,96
1.898,0.285,0.745,4.473,3.412,1.579,100,52,25,88
1.398,0.951,0.942,2.481,3.618,1.208,84,23,6,71
1.544,0.306,0.291,3.712,4.01,3.402,93,66,71,96
2.368,0.483,0.055,3.474,2.433,3.993,62,85,95,96
4.079,0.87,0.004,4.613,1.467,2.215,56,94,100,79
2.783,0.88,0.016,3.587,4.691,1.993,82,68,98,77
4.484,0.17,0.769,4.217,1.766,4.547,65,100,23,96
1.092,0.871,0.793,3.6,1.803,1.867,83,26,21,77
1.879,0.872,0.678,1.528,4.494,1.649,68,40,32,75
4.145,0.167,0.786,1.137,1.965,1.253,20,92,21,89
2.126,0.337,0.829,2.955,4.334,4.867,90,80,17,96
4.237,0.721,0.132,2.361,3.487,1.689,41,94,87,79
3.312,0.316,0.623,1.245,1.787,3.836,24,97,38,96
2.533,0.518,0.591,2.518,3.138,4.131,63,81,41,96
2.463,0.828,0.848,3.814,2.468,4.131,83,69,15,91
2.619,0.247,0.85,3.348,2.73,1.243,77,62,15,87
1.357,0.812,0.441,2.178,1.872,1.456,52,34,56,75
2.596,0.731,0.672,4.498,3.211,4.692,97,81,33,96
4.894,0.152,0.853,3.86,4.505,3.933,85,100,15,96
4.418,0.386,0.877,4.266,2.879,1.568,79,93,12,86
2.213,0.977,0.457,4.641,4.791,1.974,100,50,54,75
3.468,0.723,0.352,3.39,4.418,1.324,78,74,65,77
1.834,0.157,0.54,4.196,4.522,4.927,100,83,46,96
3.077,0.729,0.665,3.309,2.74,4.359,69,87,34,95
1.118,0.828,0.293,1.88,4.625,3.126,73,45,71,85
4.863,0.874,0.629,2.164,1.243,2.267,21,100,37,79
1.804,0.765,0.572,4.415,2.331,3.051,91,54,43,86
4.809,0.278,0.553,2.077,3.392,1.866,40,100,45,90
2.173,0.314,0.936,1.037,2.341,1.935,41,57,6,90
2.741,0.604,0.844,2.435,1.506,1.996,49,62,16,83
1.197,0.687,0.103,4.781,4.572,2.983,100,51,90,87
3.964,0.829,0.923,3.542,2.897,3.417,72,90,8,87
4.586,0.539,0.23,2.035,3.309,4.834,34,100,77,96
1.122,0.59,0.641,3.016,2.306,4.335,75,55,36,96
3.921,0.457,0.198,1.873,4.922,2.772,52,100,80,91
4.043,0.43,0.238,4.49,3.183,4.104,76,100,76,96
4.343,0.162,0.564,1.822,1.486,1.466,21,100,44,90
2.362,0.882,0.716,1.096,2.215,1.06,35,44,28,72
1.846,0.578,0.439,4.864,1.893,2.44,91,56,56,87
3.723,0.485,0.413,4.427,4.94,1.201,99,82,59,81
2.992,0.921,0.175,3.04,4.176,1.017,70,61,83,70
4.518,0.338,0.698,4.698,1.743,4.066,70,100,30,96
3.245,0.633,0.39,4.902,4.264,1.204,100,71,61,78
1.81,0.485,0.726,2.342,1.019,1.583,48,46,27,84
3.797,0.576,0.413,2.343,1.177,1.85,27,87,59,83
3.957,0.433,0.07,1.039,3.025,2.628,17,100,93,91
2.7,0.983,0.049,2.671,1.48,3.117,37,73,95,82
2.905,0.812,0.366,4.239,2.002,2.573,72,72,63,82
3.128,0.65,0.661,3.082,2.73,3.821,65,85,34,93
1.859,0.434,0.99,3.18,4.955,4.269,100,66,1,96
3.174,0.447,0.981,3.002,1.486,1.115,57,64,2,82
3.039,0.936,0.23,2.536,4.177,3.985,63,85,77,88
2.839,0.835,0.196,1.546,1.294,1.593,19,65,80,76
4.635,0.783,0.27,4.308,1.955,4.229,57,100,73,93
2.987,0.431,0.156,3.602,4.352,4.667,80,100,84,96
1.388,0.579,0.259,3.637,2.075,4.715,73,68,74,96
3.319,0.465,0.472,4.463,2.169,1.11,76,74,53,81
3.253,0.368,0.633,3.388,2.547,1.452,66,75,37,85
3.716,0.873,0.14,4.38,4.818,2.452,91,87,86,80
2.896,0.134,0.918,4.726,2.657,1.529,97,71,8,91
4.551,0.264,0.007,1.724,3.191,4.093,23,100,99,96
4.733,0.391,0.301,4.602,1.803,4.024,60,100,70,96
2.589,0.119,0.856,3.819,4.163,2.911,99,77,14,96
2.571,0.943,0.421,4.699,4.922,4.157,100,75,58,89
2.802,0.649,0.333,2.875,2.293,4.798,53,92,67,96
3.536,0.241,0.338,4.195,1.419,2.803,60,98,66,96
1.649,0.439,0.609,4.702,1.043,1.739,85,47,39,86
3.953,0.387,0.051,1.652,1.845,1.356,14,95,95,84
2.691,0.921,0.839,2.595,2.16,1.778,58,53,16,75
2.907,0.901,0.642,2.827,1.539,4.164,50,79,36,90
2.232,0.793,0.5,3.577,2.046,2.653,70,59,50,83
3.115,0.876,0.446,3.305,1.861,1.47,55,64,55,74
4.637,0.355,0.686,4.716,4.173,3.826,94,100,31,96
3.218,0.884,0.84,4.136,2.801,2.448,85,68,16,80
3.494,0.297,0.738,2.338,3.904,2.076,63,85,26,91
2.45,0.954,0.728,1.384,4.677,4.537,64,71,27,91
2.038,0.58,0.106,2.045,1.13,2.216,30,62,89,85
4.206,0.592,0.761,3.721,1.434,3.872,55,100,24,95
4.032,0.488,0.957,1.93,2.43,4.098,42,100,4,96
4.957,0.662,0.557,2.122,1.497,2.854,20,100,44,87
2.822,0.9,0.495,3.548,1.57,1.589,60,59,51,74
1.932,0.558,0.806,1.223,3.718,2.216,57,51,19,86
2.009,0.998,0.045,2.893,4.882,3.665,80,65,95,85
1.738,0.485,0.472,3.692,1.215,1.65,67,49,53,84
4.415,0.294,0.516,3.481,3.802,3.442,69,100,48,96
3.559,0.618,0.829,1.486,1.375,4.474,26,97,17,96
1.161,0.353,0.771,4.486,4.353,1.089,100,33,23,84
3.989,0.988,0.884,1.44,4.432,2.986,53,84,12,81
3.829,0.368,0.406,3.773,2.167,1.54,60,89,59,86
1.985,0.816,0.671,1.785,4.361,1.778,70,45,33,77
4.451,0.53,0.103,4.707,4.712,3.833,89,100,90,96
1.487,0.419,0.69,1.453,1.939,4.886,45,69,31,96
1.205,0.534,0.37,3.476,3.572,1.128,89,36,63,80
2.696,0.379,0.986,2.123,4.248,4.297,75,83,1,96
4.768,0.169,0.874,3.984,4.117,1.924,84,100,13,93
1.93,0.976,0.239,2.623,2.344,4.303,55,66,76,89
3.498,0.351,0.586,1.974,2.266,4.301,38,100,41,96
3.995,0.727,0.906,1.839,1.294,2.469,29,85,9,83
4.788,0.921,0.527,4.127,3.986,2.174,78,98,47,77
