pattern_label,entry_emotion,entry_sentiment,dominant_trigger,time_bucket,mood_swing_index,pattern_confidence
Recovery,fear,negative,health_sleep,Late Night,0.468,88
Recovery,joy,negative,relationships,Afternoon,0.779,63
Recovery,surprise,negative,work_studies,Afternoon,0.769,67
Recovery,fear,positive,health_sleep,Afternoon,0.967,74
Recovery,joy,neutral,work_studies,Evening,0.379,90
Recovery,love,positive,health_sleep,Morning,0.569,63
Recovery,fear,positive,relationships,Morning,0.615,63
Recovery,joy,negative,time_pressure,Late Night,0.835,71
Recovery,surprise,negative,growth_positive,Afternoon,0.607,82
Recovery,joy,positive,work_studies,Evening,0.233,87
Recovery,fear,positive,work_studies,Morning,0.617,79
Recovery,sadness,negative,time_pressure,Evening,0.237,59
Recovery,surprise,neutral,health_sleep,Afternoon,0.417,64
Recovery,anger,negative,health_sleep,Late Night,0.473,64
Recovery,love,positive,growth_positive,Morning,0.481,77
Recovery,anger,negative,time_pressure,Late Night,0.804,58
Recovery,sadness,negative,work_studies,Late Night,0.142,58
Recovery,love,negative,growth_positive,Evening,0.535,77
Recovery,sadness,neutral,social_media,Afternoon,0.985,83
Recovery,love,negative,growth_positive,Afternoon,0.513,61
Recovery,fear,neutral,work_studies,Evening,0.868,96
Recovery,fear,neutral,work_studies,Morning,0.746,85
Recovery,love,positive,social_media,Late Night,0.822,87
Recovery,joy,negative,social_media,Morning,0.576,82
Recovery,sadness,positive,social_media,Afternoon,0.52,72
Recovery,joy,neutral,growth_positive,Late Night,0.161,78
Recovery,fear,positive,relationships,Late Night,0.988,66
Recovery,joy,positive,work_studies,Morning,0.333,86
Recovery,surprise,positive,social_media,Evening,0.14,96
Recovery,anger,negative,social_media,Evening,0.823,57
Recovery,joy,positive,time_pressure,Morning,0.9,81
Recovery,joy,negative,time_pressure,Afternoon,0.63,58
Recovery,sadness,negative,growth_positive,Evening,0.256,85
Recovery,love,positive,time_pressure,Late Night,0.224,70
Recovery,joy,neutral,relationships,Late Night,0.104,60
Recovery,sadness,negative,growth_positive,Morning,0.773,81
Recovery,surprise,neutral,health_sleep,Afternoon,0.463,92
Recovery,sadness,positive,time_pressure,Afternoon,0.147,61
Recovery,sadness,negative,health_sleep,Morning,0.326,87
Recovery,fear,negative,health_sleep,Morning,0.233,92
Recovery,love,negative,health_sleep,Morning,0.173,56
Recovery,sadness,positive,social_media,Late Night,0.719,89
Recovery,anger,positive,relationships,Morning,0.273,77
Recovery,love,positive,growth_positive,Late Night,0.325,73
Recovery,fear,neutral,social_media,Afternoon,0.367,94
Recovery,joy,neutral,social_media,Late Night,0.58,68
Recovery,sadness,neutral,work_studies,Late Night,0.234,63
Recovery,love,neutral,health_sleep,Afternoon,0.657,84
Recovery,anger,negative,work_studies,Afternoon,0.894,85
Recovery,joy,negative,relationships,Evening,0.825,56
Recovery,anger,neutral,relationships,Late Night,0.391,67
Recovery,sadness,negative,work_studies,Afternoon,0.479,94
Recovery,joy,negative,work_studies,Afternoon,0.752,74
Recovery,love,neutral,work_studies,Evening,0.707,55
Recovery,surprise,negative,work_studies,Late Night,0.836,84
Recovery,love,neutral,time_pressure,Late Night,0.776,68
Recovery,surprise,negative,work_studies,Morning,0.348,75
Recovery,anger,negative,time_pressure,Evening,0.226,78
Recovery,sadness,negative,health_sleep,Late Night,0.287,80
Recovery,surprise,neutral,relationships,Afternoon,0.506,71
Recovery,anger,negative,social_media,Late Night,0.751,62
Recovery,sadness,positive,time_pressure,Evening,0.942,73
Recovery,surprise,neutral,health_sleep,Late Night,0.638,57
Recovery,joy,neutral,work_studies,Afternoon,0.992,87
Recovery,anger,positive,relationships,Morning,0.221,86
Recovery,joy,neutral,social_media,Evening,0.312,93
Recovery,fear,positive,time_pressure,Evening,0.132,68
Recovery,fear,negative,social_media,Late Night,0.85,90
Recovery,sadness,negative,health_sleep,Late Night,0.442,63
Recovery,anger,negative,work_studies,Morning,0.398,91
Recovery,surprise,neutral,growth_positive,Afternoon,0.201,56
Recovery,anger,neutral,relationships,Late Night,0.648,56
Recovery,anger,positive,growth_positive,Evening,0.806,76
Recovery,love,negative,social_media,Morning,0.468,58
Recovery,sadness,negative,time_pressure,Afternoon,0.515,55
Recovery,fear,positive,work_studies,Evening,0.136,93
Recovery,joy,negative,work_studies,Evening,0.32,64
Recovery,love,positive,time_pressure,Late Night,0.996,71
Recovery,joy,neutral,social_media,Evening,0.526,83
Recovery,anger,neutral,health_sleep,Morning,0.805,62
Recovery,anger,neutral,relationships,Evening,0.95,59
Recovery,fear,negative,health_sleep,Afternoon,0.721,92
Recovery,love,positive,social_media,Afternoon,0.447,84
Recovery,joy,positive,social_media,Late Night,0.327,61
Recovery,love,neutral,time_pressure,Afternoon,0.792,86
Recovery,surprise,negative,time_pressure,Morning,0.629,89
Recovery,love,negative,health_sleep,Afternoon,0.147,83
Recovery,anger,neutral,relationships,Late Night,0.846,81
Recovery,surprise,positive,time_pressure,Evening,0.874,71
Recovery,joy,neutral,health_sleep,Morning,0.133,94
Recovery,sadness,positive,health_sleep,Morning,0.467,80
Recovery,sadness,positive,time_pressure,Late Night,0.539,94
Recovery,love,positive,time_pressure,Morning,0.633,74
Recovery,surprise,positive,growth_positive,Morning,0.263,87
Recovery,surprise,neutral,growth_positive,Afternoon,0.637,67
Recovery,surprise,neutral,growth_positive,Morning,0.259,74
Recovery,love,neutral,growth_positive,Afternoon,0.85,90
Recovery,joy,positive,work_studies,Evening,0.197,65
Recovery,sadness,neutral,time_pressure,Evening,0.678,88
Recovery,joy,neutral,time_pressure,Late Night,0.257,96
Recovery,surprise,positive,relationships,Late Night,0.578,82
Recovery,sadness,negative,social_media,Morning,0.215,56
Recovery,anger,neutral,health_sleep,Afternoon,0.858,63
Recovery,fear,positive,work_studies,Morning,0.672,89
Recovery,surprise,positive,health_sleep,Afternoon,0.926,85
Recovery,sadness,neutral,social_media,Morning,0.941,59
Recovery,surprise,positive,health_sleep,Morning,0.223,95
Recovery,sadness,neutral,growth_positive,Late Night,0.415,63
Recovery,joy,positive,work_studies,Morning,0.499,95
Recovery,anger,negative,health_sleep,Morning,0.753,58
Recovery,joy,neutral,social_media,Morning,0.16,95
Recovery,surprise,negative,work_studies,Evening,0.554,87
Recovery,anger,neutral,work_studies,Morning,0.974,59
Recovery,anger,positive,growth_positive,Evening,0.197,65
Recovery,surprise,negative,work_studies,Morning,0.202,65
Recovery,love,negative,relationships,Morning,0.99,66
Recovery,fear,negative,work_studies,Afternoon,0.61,92
Recovery,fear,positive,social_media,Morning,0.495,92
Recovery,joy,negative,social_media,Afternoon,0.544,61
Recovery,love,positive,work_studies,Evening,0.433,74
Recovery,joy,negative,time_pressure,Morning,0.809,75
Recovery,fear,positive,work_studies,Evening,0.6,73
Recovery,love,neutral,health_sleep,Evening,0.938,59
Recovery,sadness,negative,relationships,Afternoon,0.964,66
Recovery,anger,negative,social_media,Morning,0.419,69
Recovery,surprise,positive,growth_positive,Evening,0.529,55
Recovery,love,positive,time_pressure,Afternoon,0.42,81
Recovery,sadness,neutral,time_pressure,Evening,0.859,95
Recovery,surprise,neutral,relationships,Evening,0.555,59
Recovery,joy,neutral,relationships,Evening,0.505,60
Recovery,fear,positive,time_pressure,Late Night,0.425,82
Recovery,fear,positive,time_pressure,Morning,0.153,79
Recovery,joy,positive,relationships,Afternoon,0.8,57
Recovery,sadness,positive,time_pressure,Afternoon,0.929,77
Recovery,sadness,neutral,time_pressure,Afternoon,0.873,59
Recovery,anger,neutral,time_pressure,Morning,0.108,84
Recovery,surprise,neutral,time_pressure,Morning,0.927,82
Recovery,love,positive,work_studies,Evening,0.321,84
Recovery,anger,negative,work_studies,Late Night,0.368,88
Recovery,joy,negative,relationships,Evening,0.313,92
Recovery,anger,negative,time_pressure,Afternoon,0.46,66
Recovery,fear,positive,social_media,Evening,0.186,88
Recovery,joy,neutral,health_sleep,Afternoon,0.27,94
Recovery,surprise,negative,work_studies,Evening,0.924,66
Recovery,love,neutral,social_media,Afternoon,0.516,85
Recovery,surprise,negative,work_studies,Afternoon,0.433,94
Recovery,love,neutral,time_pressure,Morning,0.926,80
Recovery,joy,positive,work_studies,Afternoon,0.194,70
Recovery,surprise,neutral,time_pressure,Late Night,0.161,89
Recovery,fear,neutral,social_media,Late Night,0.699,88
Recovery,surprise,neutral,health_sleep,Afternoon,0.153,58
Recovery,fear,negative,health_sleep,Evening,0.599,58
Recovery,joy,neutral,growth_positive,Morning,0.871,66
Recovery,surprise,negative,work_studies,Evening,0.467,79
Recovery,surprise,negative,work_studies,Evening,0.895,55
Recovery,fear,neutral,social_media,Morning,0.943,66
Recovery,anger,neutral,relationships,Afternoon,0.875,88
Recovery,love,negative,health_sleep,Late Night,0.674,71
Recovery,joy,negative,growth_positive,Morning,0.337,62
Recovery,love,positive,health_sleep,Evening,0.84,81
Recovery,surprise,positive,time_pressure,Late Night,0.999,67
Recovery,fear,neutral,growth_positive,Late Night,0.785,57
Recovery,love,positive,relationships,Afternoon,0.829,67
Recovery,joy,positive,growth_positive,Afternoon,0.397,88
Recovery,fear,negative,time_pressure,Morning,0.333,78
Recovery,surprise,negative,work_studies,Afternoon,0.284,70
Recovery,fear,neutral,relationships,Evening,0.855,62
Recovery,anger,negative,relationships,Morning,0.296,85
Recovery,joy,negative,growth_positive,Morning,0.11,71
Recovery,love,neutral,health_sleep,Afternoon,0.493,64
Recovery,joy,positive,health_sleep,Morning,0.23,61
Recovery,anger,positive,time_pressure,Afternoon,0.143,82
Recovery,surprise,negative,social_media,Evening,0.741,86
Recovery,anger,neutral,time_pressure,Morning,0.757,87
Recovery,fear,neutral,time_pressure,Afternoon,0.431,56
Recovery,fear,neutral,time_pressure,Afternoon,0.481,87
Recovery,fear,neutral,growth_positive,Evening,0.63,64
Recovery,surprise,positive,work_studies,Evening,0.198,55
Recovery,surprise,neutral,work_studies,Late Night,0.561,60
Recovery,sadness,negative,time_pressure,Morning,0.916,58
Recovery,love,neutral,health_sleep,Late Night,0.483,62
Recovery,fear,negative,relationships,Morning,0.573,87
Recovery,sadness,negative,time_pressure,Morning,0.479,96
Recovery,surprise,negative,work_studies,Afternoon,0.957,76
Recovery,surprise,positive,time_pressure,Evening,0.587,91
Recovery,sadness,neutral,work_studies,Late Night,0.961,65
Recovery,fear,negative,work_studies,Afternoon,0.343,72
Recovery,anger,positive,relationships,Morning,0.265,88
Recovery,love,negative,growth_positive,Evening,0.634,60
Recovery,joy,neutral,time_pressure,Late Night,0.197,75
Recovery,fear,negative,growth_positive,Afternoon,0.382,92
Recovery,joy,positive,growth_positive,Morning,0.585,88
Recovery,sadness,positive,work_studies,Morning,0.521,68
Recovery,love,neutral,growth_positive,Late Night,0.396,73
Recovery,sadness,negative,work_studies,Morning,0.21,80
Recovery,love,neutral,health_sleep,Late Night,0.683,63
Recovery,anger,neutral,time_pressure,Late Night,0.181,94
Recovery,surprise,positive,relationships,Late Night,0.527,79
Recovery,joy,positive,health_sleep,Morning,0.12,94
Recovery,love,negative,health_sleep,Evening,0.427,60
Recovery,joy,negative,time_pressure,Morning,0.59,63
Recovery,fear,negative,health_sleep,Afternoon,0.88,62
Recovery,surprise,positive,time_pressure,Evening,0.468,82
Recovery,anger,negative,relationships,Evening,0.129,66
Recovery,surprise,neutral,social_media,Morning,0.68,68
Recovery,fear,negative,social_media,Late Night,0.274,74
Recovery,anger,negative,time_pressure,Morning,0.244,60
Recovery,surprise,positive,relationships,Late Night,0.489,74
Recovery,joy,negative,relationships,Late Night,0.846,63
Recovery,joy,neutral,health_sleep,Morning,0.726,94
Recovery,joy,positive,social_media,Late Night,0.573,70
Recovery,love,neutral,work_studies,Afternoon,0.809,87
Recovery,sadness,neutral,time_pressure,Late Night,0.537,66
Recovery,sadness,positive,time_pressure,Morning,0.793,96
Recovery,joy,positive,relationships,Morning,0.832,69
Recovery,sadness,negative,time_pressure,Evening,0.837,73
Recovery,love,positive,time_pressure,Afternoon,0.484,85
Recovery,anger,negative,time_pressure,Afternoon,0.252,73
Recovery,anger,negative,work_studies,Evening,0.957,78
Recovery,anger,neutral,time_pressure,Evening,0.528,84
Recovery,surprise,negative,work_studies,Evening,0.162,66
Recovery,love,positive,time_pressure,Late Night,0.199,60
Recovery,fear,neutral,social_media,Evening,0.345,66
Recovery,surprise,neutral,health_sleep,Late Night,0.292,66
Recovery,anger,negative,work_studies,Morning,0.379,92
Recovery,surprise,neutral,relationships,Evening,0.946,72
Recovery,fear,positive,health_sleep,Morning,0.133,69
Recovery,joy,negative,social_media,Morning,0.583,79
Recovery,love,positive,relationships,Afternoon,0.321,95
Recovery,love,negative,growth_positive,Late Night,0.453,85
Recovery,anger,positive,health_sleep,Afternoon,0.62,90
Recovery,fear,neutral,relationships,Morning,0.426,88
Recovery,anger,positive,social_media,Evening,0.561,72
Recovery,fear,negative,growth_positive,Morning,0.16,88
Recovery,love,positive,health_sleep,Evening,0.461,57
Recovery,surprise,positive,time_pressure,Morning,0.776,93
Recovery,sadness,neutral,relationships,Late Night,0.315,59
Recovery,joy,neutral,time_pressure,Afternoon,0.548,55
Recovery,surprise,negative,health_sleep,Morning,0.606,57
Recovery,love,positive,health_sleep,Late Night,0.158,70
Recovery,anger,positive,relationships,Evening,0.451,94
Recovery,love,negative,social_media,Morning,0.78,85
Recovery,anger,positive,relationships,Morning,0.729,55
Recovery,joy,negative,relationships,Evening,0.122,92
Recovery,surprise,positive,relationships,Late Night,0.593,73
Recovery,joy,positive,time_pressure,Late Night,0.122,78
Recovery,sadness,positive,social_media,Late Night,0.638,63
Recovery,surprise,neutral,health_sleep,Afternoon,0.635,64
Recovery,sadness,neutral,growth_positive,Morning,0.76,60
Recovery,surprise,neutral,time_pressure,Evening,0.902,57
Recovery,joy,negative,relationships,Afternoon,0.778,79
Recovery,sadness,neutral,growth_positive,Evening,0.291,69
Recovery,surprise,negative,time_pressure,Morning,0.961,95
Recovery,sadness,negative,time_pressure,Late Night,0.97,92
Recovery,anger,negative,health_sleep,Evening,0.837,66
Recovery,sadness,positive,time_pressure,Evening,0.939,64
